Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25663870,Where We Want to Live: Reclaiming Infrastructure for a New Generation of Cities,Ryan Gravel,"Gravel, Ryan",,"=""1250078253""","=""9781250078254""",2,3.82,St. Martin's Press,Hardcover,256,2016,2016,2022/12/14,2022/12/14,,,read,"Man spent a summer in Paris and made it the personality of his whole book. Would have loved more about why connecting various Atlanta suburbs would be so great! Cool idea all around, but a 2 star book. One more mention of a Boulangerie and I would have exploded. ",,,1,0
15985608,"Trust Me, I'm Lying: Confessions of a Media Manipulator",Ryan Holiday,"Holiday, Ryan",,"=""""","=""""",3,3.87,Portfolio,Kindle Edition,270,2012,2012,2022/12/03,2022/09/22,,,read,,,,1,0
62083783,Paper Belt on Fire: How Renegade Investors Sparked a Revolt Against the University,Michael Gibson,"Gibson, Michael",,"=""164177245X""","=""9781641772457""",0,4.00,,Hardcover,,2022,,,2022/11/05,to-read,to-read (#71),to-read,,,,0,0
57850492,Flywheels: How Cities Are Creating Their Own Futures,Tom Alberg,"Alberg, Tom",,"=""0231553188""","=""9780231553186""",0,3.20,Columbia Business School Publishing,ebook,,2021,,2022/10/13,2022/08/11,,,read,,,,1,0
59783101,Build: An Unorthodox Guide to Making Things Worth Making,Tony Fadell,"Fadell, Tony",,"=""""","=""""",0,4.37,Harper Business,Kindle Edition,414,2022,,,2022/09/22,currently-reading,currently-reading (#21),currently-reading,,,,1,0
386162,"The Hitchhiker's Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",5,4.23,Del Rey,Paperback,193,2007,1979,2022/09/19,2022/09/19,,,read,,,,1,0
118824,Walt Disney: The Triumph of the American Imagination,Neal Gabler,"Gabler, Neal",,"=""067943822X""","=""9780679438229""",0,4.04,Alfred A. Knopf,Hardcover,851,2006,2006,,2022/09/18,to-read,to-read (#70),to-read,,,,0,0
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0812993012""","=""9780812993011""",0,4.22,Random House,Hardcover,368,2014,2014,2022/09/15,2022/08/11,,,read,,,,1,0
53205794,"The Last Watch (The Divide, #1)",J.S. Dewes,"Dewes, J.S.",,"=""1250236347""","=""9781250236340""",0,3.96,Tor Books,Paperback,480,2021,2021,2022/09/15,2022/09/15,,,read,,,,1,0
29428533,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""""","=""""",0,4.14,Portfolio,Kindle Edition,247,2016,2016,,2022/09/06,currently-reading,currently-reading (#20),currently-reading,,,,1,0
61222006,Arbitrary Lines: How Zoning Broke the American City and How to Fix It,M. Nolan Gray,"Gray, M. Nolan",,"=""""","=""""",0,4.23,,Kindle Edition,,2022,2022,,2022/08/14,currently-reading,currently-reading (#19),currently-reading,,,,1,0
56645981,San Fransicko: Why Progressives Ruin Cities,Michael Shellenberger,"Shellenberger, Michael",,"=""0063093626""","=""9780063093621""",3,4.06,Harper,Hardcover,416,2021,2021,2022/08/11,2022/01/23,,,read,,,,1,0
44492286,"Children of Dune (Dune, #3)",Frank Herbert,"Herbert, Frank",Brian Herbert,"=""0593098242""","=""9780593098240""",0,3.96,Ace Books,Paperback,609,2019,1976,2022/08/11,2022/07/06,,,read,,,,1,0
503150,Letters to a Young Contrarian,Christopher Hitchens,"Hitchens, Christopher",,"=""0465030335""","=""9780465030330""",0,4.13,Basic Books,Paperback,141,2005,2001,2022/08/11,2022/07/11,,,read,,,,1,0
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,"Putnam, Robert D.",,"=""0743203046""","=""9780743203043""",0,3.83,Touchstone Books by Simon & Schuster,Paperback,544,2001,2000,,2022/08/11,currently-reading,currently-reading (#18),currently-reading,,,,1,0
11376196,30 Lessons for Living: Tried and True Advice from the Wisest Americans,Karl Pillemer,"Pillemer, Karl",,"=""1594630844""","=""9781594630842""",0,4.09,Hudson Street Press,Hardcover,288,2011,2011,,2022/08/11,currently-reading,currently-reading (#17),currently-reading,,,,1,0
58733657,After Steve: How Apple Became a Trillion-Dollar Company and Lost Its Soul,Tripp Mickle,"Mickle, Tripp",,"=""0063009811""","=""9780063009813""",0,4.11,William Morrow & Company,Hardcover,512,2022,,2022/07/21,2022/07/21,,,read,,,,1,0
54785515,Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"Burkeman, Oliver",,"=""0374159122""","=""9780374159122""",0,4.25,"Farrar, Straus and Giroux",Hardcover,288,2021,2021,,2022/07/13,to-read,to-read (#69),to-read,,,,0,0
58145670,Courage Is Calling: Fortune Favors the Brave (The Stoic Virtues Series),Ryan Holiday,"Holiday, Ryan",,"=""0593191676""","=""9780593191675""",0,4.04,Portfolio,Hardcover,278,2021,2021,,2022/07/13,to-read,to-read (#68),to-read,,,,0,0
316767,The Box: How the Shipping Container Made the World Smaller and the World Economy Bigger,Marc Levinson,"Levinson, Marc",,"=""0691123241""","=""9780691123240""",0,3.84,Princeton University Press,Hardcover,392,2006,2006,,2022/07/11,currently-reading,currently-reading (#16),currently-reading,,,,1,0
59448800,The Power Law: Venture Capital and the Making of the New Future,Sebastian Mallaby,"Mallaby, Sebastian",,"=""""","=""""",0,4.44,Penguin Press,Kindle Edition,496,2022,2022,2022/07/11,2022/01/11,,,read,,,,1,0
56195550,How Autonomous Vehicles will Change the World: Why self-driving car technology will usher in a new age of prosperity and disruption.,Anthony  Raymond,"Raymond, Anthony",,"=""""","=""""",0,4.26,,Kindle Edition,,2020,,,2022/06/27,to-read,to-read (#67),to-read,,,,0,0
